gloss,precision,recall,f1-score,support
UP,0.0,0.0,0.0,0.0
USE,0.0,0.0,0.0,0.0
VEGETABLE,0.0,0.0,0.0,0.0
VERY,0.0,0.0,0.0,0.0
WAIT,0.0,0.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0
WANT,0.0,0.0,0.0,0.0
WATCH,0.0,0.0,0.0,0.0
WATER,0.0,0.0,0.0,0.0
WAY,0.0,0.0,0.0,0.0
WELL,0.0,0.0,0.0,0.0
WHAT,0.12804878048780488,0.6176470588235294,0.21212121212121213,34.0
WHEN,0.0,0.0,0.0,0.0
WHERE,0.0,0.0,0.0,0.0
WHILE,0.0,0.0,0.0,0.0
WHY,0.0,0.0,0.0,0.0
WHY-NOT,0.0,0.0,0.0,0.0
WILL,0.0,0.0,0.0,0.0
WILL-NOT,0.0,0.0,0.0,0.0
WONDER,0.0,0.0,0.0,0.0
WONDERFUL,0.0,0.0,0.0,0.0
WORK,0.0,0.0,0.0,0.0
WORK-OUT,0.0,0.0,0.0,0.0
WRITE,0.0,0.0,0.0,0.0
YARD,0.0,0.0,0.0,0.0
YEAH,0.0,0.0,0.0,0.0
YES,0.14681440443213298,0.7910447761194029,0.24766355140186916,67.0
YET,0.0,0.0,0.0,0.0
micro avg,0.07312362030905077,0.5,0.12758786711603273,530.0
macro avg,0.00791269527751925,0.022187102354566057,0.00967225425922666,530.0
weighted avg,0.1903424894426483,0.5,0.22703732357475465,530.0
samples avg,0.07350053229186063,0.5,0.1244233241048755,530.0
